Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Antigua and Barbuda,ATG,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,,34.94,26.72,32.38,38.69,36.63,37.02,34.04,34.71,37.35,37.77,47.76,46.37,44.66,43.54,37.85,40.16,43.98,59.12,65.52,78.78,72.3,70.28,72.99,71.92,84.57,85.06,85.22,85.24,73.94,77.26,92.78,81.59,93.28,93.75,83.93,81.03,79.59,78.94,88.96,89.76,94.45,85.31,97.51,98.26,100.72,101.02,91.41,92.46,85.27,39.11,59.36,53.86,50.86,50.87,34.33,32.64,,
Australia,AUS,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,,51.5,56.51,59.19,61.5,62.53,60.89,60.81,61.88,64.43,69.75,71.18,75.88,74.52,66.57,72.64,78.74,79.72,82.69,80.07,73.29,71.66,72.71,73.49,69.44,71.65,75.32,79.78,81.33,79.9,86.42,88.16,87.79,89.94,92.22,91.75,92.82,97.47,99.28,103.69,104.21,106.89,105.65,100.99,97.32,101.47,101.21,104.36,101.22,100.65,97.97,98.16,99.98,106.09,106.12,105.98,102.02,,
Austria,AUT,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,,65.99,68.99,70.15,70.2,69.98,68.91,73.75,75.6,75.57,75.8,76.9,75.98,76.94,80.26,81.44,83.46,83.97,84.87,88.72,89.22,89.45,90.81,91.82,94.48,93.38,94.7,94.3,94.34,92.87,94.01,95.88,99.51,97.37,104.6,97.31,102.12,102.71,103.06,103.31,101.25,104.85,104.38,98.77,98.26,100.68,101.06,104.18,105.06,106.51,108.84,105.51,105.55,106.51,106.48,107.18,108.27,,
Azerbaijan,AZE,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.26,68.48,64.04,61.58,62.57,69.63,74.69,77.97,80.62,83.43,87.4,92.31,93.69,100.73,105.58,111.26,115.17,144.62,156.49,160.31,169.34,174.84,175.45,178.35,182.41,,
Burundi,BDI,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,,55.2,56.53,56.96,59.24,64.01,66.4,70.73,73.8,83.04,83.83,86.31,92.87,96.69,98.41,105.51,119.67,110.29,110.95,109.77,105.59,91.81,93.89,98.01,99.92,95.18,109.54,110.75,118.95,118.8,101.8,114.36,110.54,110.41,104.21,88.43,83.49,78.52,83.35,97.7,89.41,85.96,84.7,85.95,80.84,100.51,118.65,114.38,110.02,117.25,118.85,129.48,140.48,126.65,136.78,136.6,140.58,,
Belgium,BEL,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.12,105.16,107.19,103.24,103.75,98.85,97.41,98.07,93.13,95.58,100.32,104.23,102.91,105.36,79.32,82.02,81.32,,
Benin,BEN,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,,25.56,26.82,29.79,31.78,32.74,34.47,36.33,37.09,39.03,39.66,39.94,41.82,42.45,45.51,48.96,50.68,50.64,53.06,54.8,58.48,59.88,63.68,70.51,75,80.13,70.14,68.35,64.52,61.38,62.76,69.55,71.52,72.48,77.69,74.02,77.96,78.67,82.97,81.89,81.45,86.35,90.33,89.69,97.41,100.57,102.02,104.87,103.16,111.81,119.56,127.27,129.95,132.87,133.91,135.42,136.32,,
Burkina Faso,BFA,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,,20.84,21.69,22.19,23.53,27.01,25.24,25.74,26.13,27.07,27.75,29.37,26.26,21.09,19.96,22.6,21.51,21.88,24.16,26.29,25.72,25.85,27.13,29.97,30.63,34.09,35.41,36.66,37.39,39.81,55.23,57.2,57.95,60.06,64.81,65.25,67.07,68.76,70.2,71.87,75.63,81.05,81.21,94.34,97.8,100.99,101.22,102.78,103.78,105.65,107.15,109.95,110.32,85.14,83.24,84.66,84.19,,
Bangladesh,BGD,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,,37.11,38.82,40.19,41.85,42.84,43.42,44.69,45.99,47.6,49.11,49.05,49.16,48.64,49.67,50.72,53.14,53.83,62.13,64.32,46.8,47.95,49.42,50.87,50.89,55.25,57.17,58.84,61.3,62.22,65.81,61.23,63.32,66.19,69.79,72.56,75.83,80.54,80.06,82.19,84.31,86.28,90.14,93.56,95.83,101.1,103.07,105.65,108.92,108.57,114.33,117.92,122.66,124.46,130.29,135.27,135.88,,
Bulgaria,BGR,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,,114.76,118.05,115.96,125.65,141.89,151.93,160.39,167.08,159.25,157.52,165.96,173.16,175.64,177.04,189.93,203.46,204.97,212.42,227.98,229.22,233.98,241.71,249.71,255.03,252.7,260.24,258.59,260.31,260.57,250.19,211.76,207.3,176.73,152.75,151.77,157.7,145.53,152.07,157.62,153.75,145.67,108.21,92.53,98.37,99.14,102.49,97.24,95.22,94.33,90.28,88.77,90.27,89.02,86.18,84.39,84.39,,
