country,land_hect,10_tc_ha,10_tc_pc,25_tc_ha,25_tc_pc,50_tc_ha,50_tc_pc,75_tc_ha,75_tc_pc,gain_01_12_ha,loss_10_pc,loss_25_pc,loss_50_pc,loss_75_pc,total_loss,latitude,longitude
South Korea,9875406,5777793,0.585,5496688,0.557,4519040,0.458,1669399,0.169,27132,129321,123348,101815,45795,0.022,,
South Sudan,62998986,42724233,0.678,16940905,0.269,4105100,0.065,177304,0.003,3823,161620,106764,43882,8327,0.004,,
Spain,50402548,14326675,0.284,11747289,0.233,8100118,0.161,5246830,0.104,448188,650160,623252,525002,355246,0.045,,
Sri Lanka,6509706,4241112,0.652,4041333,0.621,3546176,0.545,2617671,0.402,26385,94061,92169,84455,55075,0.022,,
Sudan,187066999,4298664,0.023,248317,0.001,1197,0,0,0,9,5835,1362,74,0,0.001,,
Suriname,14434305,13982048,0.969,13955181,0.967,13913141,0.964,13856404,0.96,7020,72228,72166,71746,70820,0.005,,
Swaziland,1725489,1453918,0.843,594483,0.345,198264,0.115,59709,0.035,60321,74641,69923,61559,41191,0.051,,
Sweden,41311861,29411883,0.712,28234471,0.683,23985060,0.581,15399596,0.373,1528070,2549858,2543784,2513577,2334583,0.084,,
Switzerland,3995921,1655244,0.414,1573861,0.394,1448329,0.362,1136345,0.284,10372,22479,22401,22058,20128,0.013,,
Syria,18550110,147192,0.008,114074,0.006,82153,0.004,45529,0.002,1580,8431,8056,7103,5448,0.055,,
Taiwan,3579767,2426725,0.678,2362403,0.66,2246622,0.628,2009838,0.561,6114,26278,26093,25407,22694,0.011,,
Tajikistan,14093783,172653,0.012,70032,0.005,19358,0.001,6250,0,145,383,340,237,103,0.002,,
Tanzania,88530934,65324250,0.738,34085964,0.385,9702767,0.11,1232014,0.014,304096,1974412,1479265,691272,117255,0.029,,
Thailand,50716650,21919768,0.432,20556868,0.405,17966968,0.354,11045391,0.218,499219,1104703,1064708,959716,661237,0.049,,
Togo,5679078,4307816,0.759,808377,0.142,127432,0.022,458,0,2369,76106,38506,5167,200,0.017,,
Trinidad and Tobago,513126,401470,0.782,394279,0.768,383152,0.747,366352,0.714,1606,15215,15164,14941,14035,0.037,,
Tunisia,15458663,286576,0.019,235363,0.015,178548,0.012,107370,0.007,11502,9289,8992,7840,5793,0.033,,
Turkey,77076654,12909401,0.167,10668594,0.138,8214341,0.107,5910368,0.077,178349,310181,289103,240272,169690,0.024,,
Turkmenistan,46655109,31509,0.001,12770,0,5853,0,2504,0,280,545,481,308,203,0.017,,
Turks and Caicos Islands,87495,15275,0.175,11722,0.134,8654,0.099,5867,0.067,15,396,369,260,112,0.025,,
Uganda,20532234,18359418,0.894,9978371,0.486,3271919,0.159,848910,0.041,68543,365350,349989,279699,167943,0.02,,
Ukraine,58724207,13138758,0.224,11629571,0.198,9678600,0.165,6847386,0.117,352929,557133,550627,527263,437243,0.042,,
United Arab Emirates,7919013,2,0,0,0,0,0,0,0,0,0,0,0,0,0.053,,
United Kingdom,24202281,4495089,0.186,3837197,0.159,2957921,0.122,1518479,0.063,211114,263434,260460,243794,195998,0.058,,
United States,916431079,314943238,0.344,287015732,0.313,244549560,0.267,198278616,0.216,13808181,25779271,25467033,23671431,20640844,0.079,,
United States Minor Outlying Islands,476,164,0.344,150,0.314,122,0.256,99,0.208,1,104,103,98,89,0.389,,
Uruguay,17452575,1875915,0.107,1744916,0.1,1388109,0.08,852168,0.049,498485,200832,200058,192801,164591,0.127,,
US Virgin Islands,34967,20397,0.583,19362,0.554,17855,0.511,15822,0.452,403,560,558,545,491,0.027,,
Uzbekistan,43509008,255432,0.006,122536,0.003,51328,0.001,20469,0,520,1150,1048,782,430,0.004,,
Vanuatu,1206586,1187552,0.984,1183862,0.981,1162735,0.964,1099706,0.911,1374,4101,4089,4042,3831,0.003,,
Vatican City,53,9,0.169,6,0.11,3,0.063,2,0.031,0,0,0,0,0,0,,
Venezuela,89962615,58853438,0.654,57116497,0.635,53744128,0.597,49366278,0.549,191015,1245073,1226320,1126989,888055,0.021,,
Vietnam,32294063,18173475,0.563,17012423,0.527,14784037,0.458,10697091,0.331,564293,1182326,1162848,1099108,874429,0.063,,
Yemen,45204549,6793,0,260,0,10,0,0,0,4,4,0,0,0,0.001,,
Zambia,73611763,61144835,0.831,31615569,0.429,9196778,0.125,42926,0.001,18129,1305906,970345,414108,22321,0.021,,
Zimbabwe,38693441,18374105,0.475,2410589,0.062,293104,0.008,79936,0.002,48563,373398,158509,56682,21381,0.02,,
